Customer_ID,Age,Annual_Income,Customer_Tier,Interest_Rate,Credit_Score,Loan_Default
SOL-CUST_1050,33,355156,Standard,3.3,832,0
SOL-CUST_1051,51,106057,Standard,3.6,685,0
SOL-CUST_1052,58,31059,Standard,3.4,634,0
SOL-CUST_1053,30,24606,Gold,11.2,400,0
SOL-CUST_1054,70,20479,Gold,12.0,552,1
SOL-CUST_1055,40,192476,Standard,2.7,800,0
SOL-CUST_1056,38,47887,Standard,9.1,445,1
SOL-CUST_1057,31,146758,Standard,2.8,638,0
SOL-CUST_1058,32,20594,VIP,11.9,519,0
SOL-CUST_1059,25,57871,Standard,2.8,842,0
SOL-CUST_1060,57,41008,Standard,8.5,390,1
SOL-CUST_1061,38,197659,Standard,3.1,741,0
SOL-CUST_1062,61,20529,Standard,4.5,633,0
SOL-CUST_1063,41,213606,Standard,2.7,799,0
SOL-CUST_1064,50,266400,VIP,2.9,738,0
SOL-CUST_1065,45,50398,VIP,3.7,590,0
SOL-CUST_1066,46,477090,VIP,2.7,848,0
SOL-CUST_1067,54,169008,Standard,4.2,642,1
SOL-CUST_1068,24,85964,VIP,4.3,761,0
SOL-CUST_1069,45,29753,Standard,3.0,646,0
SOL-CUST_1070,54,139169,Gold,10.0,694,0
SOL-CUST_1071,36,152472,VIP,2.7,826,0
SOL-CUST_1072,66,494004,VIP,2.7,844,0
SOL-CUST_1073,26,174499,VIP,2.7,844,0
SOL-CUST_1074,61,70358,Gold,11.5,482,0
SOL-CUST_1075,39,67349,Standard,9.9,793,0
SOL-CUST_1076,63,21845,Standard,2.7,843,0
SOL-CUST_1077,70,20555,VIP,12.0,302,1
SOL-CUST_1078,55,107945,Gold,11.7,492,0
SOL-CUST_1079,31,345217,Standard,4.3,769,0
SOL-CUST_1080,34,25060,Gold,11.9,576,0
SOL-CUST_1081,39,380145,Standard,2.7,810,0
SOL-CUST_1082,34,274199,VIP,2.7,760,0
SOL-CUST_1083,64,283582,VIP,2.7,712,0
SOL-CUST_1084,59,20502,Standard,12.0,380,1
SOL-CUST_1085,59,20552,VIP,12.0,338,1
SOL-CUST_1086,65,137128,Standard,4.5,775,0
SOL-CUST_1087,30,23197,Standard,11.7,457,0
SOL-CUST_1088,51,92014,Gold,11.2,574,0
SOL-CUST_1089,58,289340,VIP,2.7,840,0
SOL-CUST_1090,53,474338,Standard,2.7,802,0
SOL-CUST_1091,57,193355,Standard,3.7,711,1
SOL-CUST_1092,54,160562,VIP,2.8,696,1
SOL-CUST_1093,69,130866,Standard,9.4,659,1
SOL-CUST_1094,59,23810,Gold,5.2,623,0
SOL-CUST_1095,52,105980,VIP,2.7,706,1
SOL-CUST_1096,29,28278,Gold,10.4,544,0
SOL-CUST_1097,57,112557,Gold,2.7,845,0
SOL-CUST_1098,33,25013,Gold,12.0,380,0
SOL-CUST_1099,65,428197,Gold,4.2,784,0
SOL-CUST_1100,35,22785,Gold,11.9,353,1
SOL-CUST_1101,60,27292,Gold,11.8,415,1
SOL-CUST_1102,25,30145,VIP,3.2,725,1
SOL-CUST_1103,47,171515,VIP,3.3,831,0
SOL-CUST_1104,33,106890,Gold,11.8,657,0
SOL-CUST_1105,66,148480,Standard,2.7,848,0
SOL-CUST_1106,58,29956,Gold,11.9,556,0
SOL-CUST_1107,39,27787,Gold,12.0,500,0
SOL-CUST_1108,26,94320,VIP,3.0,715,1
SOL-CUST_1109,27,379134,Standard,2.7,845,0
SOL-CUST_1110,54,20882,Gold,12.0,411,0
SOL-CUST_1111,52,405922,VIP,2.7,836,0
SOL-CUST_1112,32,234944,Standard,2.7,705,0
SOL-CUST_1113,35,25038,Gold,12.0,457,1
SOL-CUST_1114,56,115087,VIP,5.8,647,0
SOL-CUST_1115,68,46516,Standard,4.7,848,0
SOL-CUST_1116,50,423295,Standard,2.7,831,1
SOL-CUST_1117,55,27113,VIP,4.2,514,0
SOL-CUST_1118,27,138356,VIP,2.7,785,0
SOL-CUST_1119,42,409961,Gold,2.7,847,0
SOL-CUST_1120,49,28844,VIP,4.1,793,0
SOL-CUST_1121,25,191552,VIP,2.9,418,0
SOL-CUST_1122,33,34580,Standard,7.6,684,0
SOL-CUST_1123,24,431237,VIP,2.7,848,0
SOL-CUST_1124,59,43261,Standard,11.2,426,1
SOL-CUST_1125,69,20602,Gold,12.0,446,0
SOL-CUST_1126,62,203903,Standard,2.7,849,0
SOL-CUST_1127,54,20802,Standard,11.7,347,1
SOL-CUST_1128,57,36709,Gold,10.6,697,0
SOL-CUST_1129,39,298751,VIP,2.7,720,0
SOL-CUST_1130,42,58305,VIP,7.7,388,1
SOL-CUST_1131,26,26567,VIP,11.5,402,1
SOL-CUST_1132,45,213626,VIP,2.7,810,0
SOL-CUST_1133,31,68013,Gold,11.5,616,0
SOL-CUST_1134,51,20570,Gold,11.8,727,0
SOL-CUST_1135,56,352310,VIP,2.7,828,0
SOL-CUST_1136,68,443651,VIP,2.7,847,0
SOL-CUST_1137,65,225054,VIP,2.7,797,1
SOL-CUST_1138,55,26706,Gold,11.8,627,0
SOL-CUST_1139,48,290531,VIP,2.9,810,0
SOL-CUST_1140,58,269100,Gold,2.7,834,0
SOL-CUST_1141,42,50256,Gold,3.5,847,0
SOL-CUST_1142,24,33350,VIP,7.2,556,0
SOL-CUST_1143,48,322808,Standard,2.8,630,1
SOL-CUST_1144,65,29991,Gold,11.8,661,0
SOL-CUST_1145,53,172145,Gold,4.0,592,0
SOL-CUST_1146,68,27139,Gold,11.6,449,0
SOL-CUST_1147,46,474760,VIP,2.7,829,0
SOL-CUST_1148,39,110338,VIP,4.5,839,0
SOL-CUST_1149,37,113652,Gold,7.3,648,0
SOL-CUST_1150,53,308046,VIP,2.7,823,0
SOL-CUST_1151,50,37768,VIP,9.2,756,0
SOL-CUST_1152,64,27007,Standard,9.1,712,0
SOL-CUST_1153,70,52660,Gold,8.7,548,0
SOL-CUST_1154,30,232342,VIP,2.8,833,0
SOL-CUST_1155,27,211788,VIP,2.7,714,0
SOL-CUST_1156,27,83143,Gold,9.4,632,0
SOL-CUST_1157,49,26866,Gold,11.9,725,0
SOL-CUST_1158,28,20542,Gold,12.0,457,1
SOL-CUST_1159,42,21462,Gold,11.5,562,1
SOL-CUST_1160,26,202036,VIP,5.2,674,0
SOL-CUST_1161,27,131431,VIP,3.2,754,0
SOL-CUST_1162,55,196142,VIP,2.8,782,0
SOL-CUST_1163,66,270906,Gold,2.8,847,0
SOL-CUST_1164,43,234273,VIP,2.8,711,1
SOL-CUST_1165,38,79999,Standard,3.0,814,0
SOL-CUST_1166,58,105915,VIP,2.7,692,1
SOL-CUST_1167,47,34476,VIP,3.4,797,0
SOL-CUST_1168,70,235845,VIP,2.7,843,0
SOL-CUST_1169,62,74752,VIP,2.7,791,0
SOL-CUST_1170,50,400407,VIP,2.7,835,0
SOL-CUST_1171,31,20575,Gold,12.0,445,1
SOL-CUST_1172,30,57633,Standard,5.7,687,0
SOL-CUST_1173,55,319201,VIP,2.7,697,0
SOL-CUST_1174,64,31844,Gold,9.2,599,0
SOL-CUST_1175,69,20606,Gold,12.0,346,0
SOL-CUST_1176,43,379584,Gold,9.8,713,0
SOL-CUST_1177,59,310932,VIP,2.7,842,0
SOL-CUST_1178,49,23548,Standard,11.6,613,0
SOL-CUST_1179,44,121754,Standard,2.7,838,1
SOL-CUST_1180,57,316115,Standard,2.9,801,0
SOL-CUST_1181,55,22839,VIP,3.1,729,1
SOL-CUST_1182,33,40073,Standard,2.9,797,1
SOL-CUST_1183,25,458043,Gold,2.7,745,0
SOL-CUST_1184,49,177464,VIP,6.6,464,1
SOL-CUST_1185,31,24041,VIP,11.6,321,0
SOL-CUST_1186,59,125535,Standard,5.1,657,0
SOL-CUST_1187,54,279902,Gold,4.9,825,0
SOL-CUST_1188,44,359990,Gold,2.7,848,0
SOL-CUST_1189,30,125875,VIP,3.3,536,1
SOL-CUST_1190,51,270221,Gold,3.5,740,0
SOL-CUST_1191,25,24085,Gold,7.0,726,0
SOL-CUST_1192,57,21828,VIP,11.5,607,0
SOL-CUST_1193,40,130140,Gold,8.7,843,0
SOL-CUST_1194,64,31116,Standard,9.2,722,0
SOL-CUST_1195,51,176554,VIP,2.7,837,0
SOL-CUST_1196,38,31280,Standard,6.4,798,0
SOL-CUST_1197,35,103571,Gold,9.0,817,0
SOL-CUST_1198,51,215273,VIP,4.0,483,0
SOL-CUST_1199,34,84249,Gold,2.7,793,0
